قائمة العمليات (تم التحديث):
-------------------------------------------------------------------
الرقم 		|		 اسم العملية 		|		 PID 		|		 المسار 		|		 المستخدم 		|		 الحالة 		|		 الذاكرة 		|		 استخدام المعالج
-------------------------------------------------------------------
1 	 System Idle Process 	 0 	غير 	 غير متاح 	قيد التشغيل 	 0 MB 	 0%
2 	 System 	 4 	غير 	 غير متاح 	قيد التشغيل 	 0.02 MB 	 2.54%
3 	 Registry 	 124 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 85.39 MB 	 0%
4 	 smss.exe 	 480 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0.3 MB 	 0%
5 	 csrss.exe 	 648 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 3.14 MB 	 0%
6 	 wininit.exe 	 752 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 1.66 MB 	 0%
7 	 services.exe 	 956 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 8.96 MB 	 0%
8 	 lsass.exe 	 964 	C:\Windows\system32\lsass.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 19.45 MB 	 0.52%
9 	 svchost.exe 	 652 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 33.11 MB 	 0.26%
10 	 fontdrvhost.exe 	 896 	C:\Windows\system32\fontdrvhost.exe 	 Font Driver Host\UMFD-0 	قيد التشغيل 	 0.6 MB 	 0%
11 	 svchost.exe 	 1064 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\NETWORK SERVICE 	قيد التشغيل 	 21.61 MB 	 0.52%
12 	 svchost.exe 	 1124 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 5.17 MB 	 0.07%
13 	 WUDFHost.exe 	 1212 	C:\Windows\System32\WUDFHost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 8.2 MB 	 0%
14 	 svchost.exe 	 1336 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 5.55 MB 	 0%
15 	 svchost.exe 	 1344 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 4.73 MB 	 0%
16 	 svchost.exe 	 1400 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 13.72 MB 	 0.26%
17 	 IntelCpHDCPSvc.exe 	 1456 	C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_5481f7821d650a44\IntelCpHDCPSvc.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 1.1 MB 	 0%
18 	 svchost.exe 	 1468 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 4.95 MB 	 0%
19 	 svchost.exe 	 1528 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 4.48 MB 	 0%
20 	 IntelCpHeciSvc.exe 	 1708 	C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_5481f7821d650a44\IntelCpHeciSvc.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 1.48 MB 	 0%
21 	 svchost.exe 	 1720 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 9.95 MB 	 0%
22 	 svchost.exe 	 1800 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 5.13 MB 	 0%
23 	 svchost.exe 	 1928 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 3.86 MB 	 0%
24 	 igfxCUIService.exe 	 2024 	C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_5481f7821d650a44\igfxCUIService.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 2.59 MB 	 0%
25 	 svchost.exe 	 1396 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 9.43 MB 	 0%
26 	 svchost.exe 	 2052 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 6.36 MB 	 0%
27 	 svchost.exe 	 2064 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 3.98 MB 	 0%
28 	 svchost.exe 	 2144 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\NETWORK SERVICE 	قيد التشغيل 	 8.76 MB 	 0%
29 	 svchost.exe 	 2216 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 7.86 MB 	 0%
30 	 svchost.exe 	 2224 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 6.91 MB 	 0%
31 	 svchost.exe 	 2316 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 2.64 MB 	 0%
32 	 svchost.exe 	 2404 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 7.15 MB 	 0%
33 	 svchost.exe 	 2440 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 1.76 MB 	 0%
34 	 svchost.exe 	 2448 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 6.6 MB 	 0%
35 	 svchost.exe 	 2540 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 7.23 MB 	 0%
36 	 svchost.exe 	 2548 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 38.28 MB 	 6.64%
37 	 svchost.exe 	 2556 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 3.88 MB 	 0%
38 	 Memory Compression 	 2620 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 91.88 MB 	 0%
39 	 svchost.exe 	 2684 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 17.62 MB 	 0%
40 	 svchost.exe 	 2820 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 2.59 MB 	 0%
41 	 svchost.exe 	 2212 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 10.41 MB 	 0.13%
42 	 HotKeyServiceUWP.exe 	 2864 	C:\Windows\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_b8c54d887660aa14\HotKeyServiceUWP.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
43 	 HotKeyServiceUWP.exe 	 2864 	C:\Windows\System32\DriverStore\FileRepository\hpqkbsoftwarecompnent.inf_amd64_b8c54d887660aa14\HotKeyServiceUWP.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 6.45 MB 	 0%
44 	 svchost.exe 	 3268 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
45 	 svchost.exe 	 3268 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 2.89 MB 	 0%
46 	 svchost.exe 	 3276 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\NETWORK SERVICE 	قيد التشغيل 	 6.01 MB 	 0%
47 	 svchost.exe 	 3284 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
48 	 svchost.exe 	 3284 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 4.86 MB 	 0%
49 	 svchost.exe 	 3348 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 0 MB 	 0%
50 	 svchost.exe 	 3348 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 10.17 MB 	 0%
51 	 svchost.exe 	 3356 	غير 	 NT AUTHORITY\NETWORK SERVICE 	قيد التشغيل 	 0 MB 	 0%
52 	 svchost.exe 	 3356 	غير 	 NT AUTHORITY\NETWORK SERVICE 	قيد التشغيل 	 11.8 MB 	 0%
53 	 svchost.exe 	 3736 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
54 	 svchost.exe 	 3736 	C:\Windows\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 12.68 MB 	 0%
55 	 svchost.exe 	 3848 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0 MB 	 0%
56 	 svchost.exe 	 3848 	C:\Windows\System32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 11.06 MB 	 0%
