قائمة العمليات (تم التحديث):
-------------------------------------------------------------------
الرقم 		|		 اسم العملية 		|		 PID 		|		 المسار 		|		 المستخدم 		|		 الحالة 		|		 الذاكرة 		|		 استخدام المعالج
-------------------------------------------------------------------
1 	 Secure System 	 56 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 22.52 MB 	 0%
2 	 WUDFHost.exe 	 828 	C:\Windows\System32\WUDFHost.exe 	 NT AUTHORITY\LOCAL SERVICE 	قيد التشغيل 	 8.72 MB 	 0%
3 	 WmiPrvSE.exe 	 6696 	C:\WINDOWS\system32\wbem\wmiprvse.exe 	 NT AUTHORITY\NETWORK SERVICE 	قيد التشغيل 	 35.02 MB 	 98.44%
4 	 StartMenuExperienceHost.exe 	 8236 	C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 77.2 MB 	 0%
5 	 ApplicationFrameHost.exe 	 1820 	C:\WINDOWS\system32\ApplicationFrameHost.exe 	 STAKYWS\Smart 	قيد التشغيل 	 34.69 MB 	 0%
6 	 UserOOBEBroker.exe 	 1124 	C:\Windows\System32\oobe\UserOOBEBroker.exe 	 STAKYWS\Smart 	قيد التشغيل 	 8.88 MB 	 0%
7 	 RAVCpl64.exe 	 5960 	C:\Program Files\Realtek\Audio\HDA\RAVCpl64.exe 	 STAKYWS\Smart 	قيد التشغيل 	 2.58 MB 	 0%
8 	 Monitora_Users.exe 	 9060 	C:\Users\Smart\AppData\Local\Temp\Rar$EXa12568.45796.rartemp\Monitor1\Project Monitor\bin\Debug\net9.0-windows\Monitora_Users.exe 	 STAKYWS\Smart 	قيد التشغيل 	 287.62 MB 	 4.04%
9 	 Monitora_Users.exe 	 1768 	C:\Users\Smart\Desktop\bat\Monitor1\Project Monitor\bin\Debug\net9.0-windows\Monitora_Users.exe 	 STAKYWS\Smart 	قيد التشغيل 	 179.35 MB 	 1.43%
10 	 System Idle Process 	 0 	غير 	 غير متاح 	قيد التشغيل 	 0 MB 	 0%
11 	 System 	 4 	غير 	 غير متاح 	قيد التشغيل 	 2.35 MB 	 4.82%
12 	 Registry 	 108 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 85.58 MB 	 0%
13 	 smss.exe 	 452 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 0.99 MB 	 0%
14 	 csrss.exe 	 736 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 5.29 MB 	 0.26%
15 	 wininit.exe 	 884 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 5.86 MB 	 0%
16 	 services.exe 	 964 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 10 MB 	 0%
17 	 LsaIso.exe 	 984 	غير 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 2.78 MB 	 0%
18 	 lsass.exe 	 992 	C:\WINDOWS\system32\lsass.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 25.13 MB 	 1.95%
19 	 svchost.exe 	 764 	C:\WINDOWS\system32\svchost.exe 	 NT AUTHORITY\SYSTEM 	قيد التشغيل 	 30.76 MB 	 0.13%
